FoodID,MeasureID,ConversionFactorValue,ConvFactorDateOfEntry
5,341,0.92989,2014-09-12
5,383,1.16236,2014-09-12
5,415,2.32472,2014-09-12
61,341,1.03128,1999-06-02
61,415,2.57819,2003-03-07
415,341,1.03550,1999-06-03
415,385,0.15203,2003-03-24
415,415,2.58876,2003-03-24
415,428,0.30405,2003-03-24
2873,341,1.00101,1999-06-07
2873,415,2.50250,2003-08-28
2880,341,0.43920,2008-06-24
2880,428,0.13000,2008-06-24
2885,341,1.03483,1999-06-07
2885,383,1.29438,2003-08-28
2885,415,2.58876,2003-08-28
5573,341,0.76078,2004-05-28
5573,383,0.95090,2004-10-22
5573,415,1.90194,2004-05-28
5574,341,0.76923,2004-05-28
5574,383,0.96150,2004-10-22
5574,415,1.92307,2004-05-28
5580,385,0.06340,2004-05-03
5582,341,0.60017,2004-05-28
5582,383,0.75020,2004-10-22
5582,415,1.50042,2004-05-28
5585,341,0.10989,2004-06-28
5585,415,0.27473,2004-06-28
5586,341,1.02282,2004-05-28
5586,383,1.27850,2004-10-22
5586,415,2.55706,2004-05-28
5589,341,1.03128,2004-06-04
5589,415,2.57819,2004-06-04
