FoodID,FoodCode,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,FoodDateOfEntry,FoodDateOfPublication,CountryCode,ScientificName
5,5,22,0,"Chinese dish, chow mein, chicken","Mets chinois, chow mein, poulet",1981-01-01,,36623,
7,7,22,36,"Beef pot roast, with browned potatoes, peas and corn","Boeuf braisé, avec pomme de terre au four, pois et maïs",1981-01-01,,,
8,8,22,30,"Fried chicken, mashed potatoes and vegetables",Poulet frit avec pommes de terre en purée et légumes,1981-01-01,,,
10,10,22,30,Sliced turkey with mashed potatoes and peas,Dinde tranchée avec pommes de terre en purée et pois,1981-01-01,,,
61,61,1,0,"Milk, fluid, partly skimmed, 2% M.F.","Lait, partiellement écrémé, liquide, 2% M.G.",1981-01-01,,01079,
129,129,1,4,"Egg, chicken, whole, cooked, fried","Oeuf, poule, entier, cuit, frit",1989-01-01,,01128,
415,415,4,0,"Sandwich spread, with chopped pickle, regular, unspecified oil","Tartinade pour sandwich, avec cornichons hachés, ordinaire, huile non spécifiée",1981-01-01,,04030,
1415,1415,8,26,"Cereal, hot, oats, instant: apple and cinnamon, dry, Quaker","Céréale, chaude, avoine (gruau), instantanée: pommes et cannelle, sèche, Quaker",1996-01-01,,,
2873,2873,14,0,"Coffee, brewed, prepared with tap water","Café infusé, préparé avec leau du robinet",1988-01-01,,14209,
2880,2880,14,0,"Coffee, instant, with sugar, mocha flavour, powder","Café instantané, avec sucre, saveur moka, poudre",1988-01-01,,14224,
2885,2885,14,0,"Juice drink, cranberry and apricot, bottled","Boisson au jus, canneberges et abricots, bouteille",1988-01-01,,14240,
5573,5573,11,35,"Potatoes, canned, drained solids, unsalted","Pomme de terre, conserve, solides égouttés, sans sel",2004-03-09,2003-08-01,43311,
5574,5574,11,35,"Vegetables, mixed, canned, unsalted","Légumes, macédoine, conserve, sans sel",2004-03-09,2003-08-01,43312,
5575,5575,10,35,"Pork, cured, ham, boneless, mini ham-half, extra lean and regular, cooked, reduced sodium","Porc, salé, jambon, faible en sodium, cuit",2004-03-09,2003-08-01,43325,
5580,5580,1,35,"Cheese, parmesan, low sodium","Fromage parmesan, faible en sodium",2004-03-09,2003-08-01,43340,
5582,5582,11,35,"Sauerkraut, canned, low sodium","Choucroute, conserve, faible en sodium",2004-03-09,2003-08-01,43350,
5585,5585,25,35,"Snacks, tortilla chips, unsalted","Grignotises, croustilles, tortilla, sans sel",2004-03-09,2003-08-01,43364,
5586,5586,11,35,"Juice, tomato and vegetable, low sodium","Jus, tomates et légumes, conserve, faible en sodium",2004-03-09,2003-08-01,43365,
5587,5587,5,35,"Turkey, wing, smoked, cooked, with skin, bone removed","Dindon, aile, fumée, avec peau, désossée",2004-03-09,2003-08-01,43366,
5589,5589,14,35,"Chocolate flavour drink, whey and milk based","Boisson, saveur de chocolat, base de lactosérum et lait",2004-03-09,2003-08-01,43369,
