FoodID,NutrientID,NutrientValue,NutrientSourceID,NutrientDateOfEntry
5,203,6.76,0,2013-05-22
5,204,2.8,0,2013-05-22
5,205,8.29,0,2013-05-22
5,207,1.13,0,2013-05-22
5,208,85,0,2015-04-28
5,210,0.6,0,2013-05-22
5,211,0.65,0,2013-05-22
5,212,0.49,0,2013-05-22
5,213,0,0,2013-05-22
5,214,0,0,2013-05-22
5,221,0,12,2004-09-13
5,255,81.01,0,2013-05-22
5,262,0,12,2004-09-13
5,263,0,12,2004-09-13
5,268,355,4,2015-04-28
5,269,1.74,0,2013-05-22
5,287,0,0,2013-05-22
5,291,1,0,2013-05-22
5,301,21,0,2013-05-22
5,303,0.67,0,2013-05-22
5,304,11,0,2013-05-22
5,305,54,0,2013-05-22
5,306,124,0,2013-05-22
5,307,311,0,2013-05-22
5,309,0.32,0,2013-05-22
5,312,0.029,0,2013-05-22
5,315,0.099,0,2013-05-22
5,317,6.1,0,2013-05-22
5,319,1,0,2013-05-22
5,321,166,0,2013-05-22
5,323,0.43,0,2013-05-22
5,324,1,102,2010-04-16
5,339,0,102,2010-04-16
5,401,2,0,2013-05-22
5,404,0.031,0,2013-05-22
5,405,0.023,0,2013-05-22
5,406,1.468,0,2013-05-22
5,409,2.851,4,2013-05-22
5,410,0.26,0,2013-05-22
5,415,0.175,0,2013-05-22
5,417,27,102,2010-04-16
5,418,0.07,0,2013-05-22
5,430,22,0,2013-05-22
5,431,7,102,2010-04-16
5,501,0.083,0,2013-05-22
5,502,0.268,0,2013-05-22
5,503,0.28,0,2013-05-22
5,504,0.502,0,2013-05-22
5,505,0.475,0,2013-05-22
5,506,0.163,0,2013-05-22
5,507,0.077,0,2013-05-22
5,508,0.252,0,2013-05-22
5,509,0.218,0,2013-05-22
5,510,0.307,0,2013-05-22
5,511,0.424,0,2013-05-22
5,512,0.184,0,2013-05-22
5,513,0.356,0,2013-05-22
5,514,0.604,0,2013-05-22
5,515,1.38,0,2013-05-22
5,516,0.237,0,2013-05-22
5,517,0.355,0,2013-05-22
5,518,0.252,0,2013-05-22
5,601,16,0,2013-05-22
5,605,0.017,0,2013-05-22
5,606,0.49,0,2013-05-22
5,607,0.003,0,2013-05-22
5,608,0,0,2013-05-22
5,609,0.001,0,2013-05-22
5,610,0.002,0,2013-05-22
5,611,0.001,0,2013-05-22
5,612,0.007,0,2013-05-22
5,613,0.347,0,2013-05-22
5,614,0.11,0,2013-05-22
5,615,0.006,0,2013-05-22
5,617,0.569,0,2013-05-22
5,618,1.066,0,2013-05-22
5,619,0.129,0,2013-05-22
5,620,0.016,0,2013-05-22
5,621,0,12,2009-07-14
5,624,0.006,0,2013-05-22
5,625,0.001,0,2013-05-22
5,626,0.03,0,2013-05-22
5,627,0,0,2013-05-22
5,628,0.01,0,2013-05-22
5,629,0.002,0,2013-05-22
5,630,0.001,0,2013-05-22
5,631,0,12,2009-07-14
5,645,0.613,0,2013-05-22
5,646,1.226,0,2013-05-22
5,652,0.001,0,2013-05-22
5,653,0.003,0,2013-05-22
5,654,0.003,0,2013-05-22
5,806,21,102,2010-04-16
5,810,3.99,0,2013-05-22
5,811,0.03,0,2013-05-22
5,812,0.93,0,2013-05-22
5,813,0.25,0,2013-05-22
5,814,19,0,2013-05-22
5,815,32,2,2010-04-16
5,817,0,0,2013-05-22
5,818,0.009,0,2013-05-22
5,819,0.007,0,2013-05-22
5,820,0.001,0,2013-05-22
5,821,0.029,0,2013-05-22
5,823,0,12,2010-04-16
5,824,0.56,0,2013-05-22
5,825,1.057,0,2013-05-22
5,826,0.003,0,2013-05-22
5,827,0,12,2009-07-14
5,829,0.01,0,2013-05-22
5,831,0.128,0,2013-05-22
5,832,0,12,2009-07-14
5,833,0,0,2013-05-22
5,834,99,0,2013-05-22
5,835,1,0,2013-05-22
5,836,0,0,2013-05-22
5,837,66,0,2013-05-22
5,838,0.002,0,2013-05-22
5,840,0,12,2010-04-16
5,841,0,12,2010-04-16
5,845,0.004,0,2013-05-22
5,852,0,12,2010-04-16
5,854,0,12,2009-07-14
5,855,0,12,2010-05-28
5,859,0.007,0,2013-05-22
5,861,0,12,2009-07-14
5,862,24,0,2013-05-22
5,863,0.8,0,2013-05-22
5,868,0.13,4,2013-08-01
5,869,1.077,4,2013-08-01
7,203,21.29,102,2010-04-16
7,204,5.25,102,2010-04-16
7,205,10.72,102,2010-04-16
7,207,1.86,102,2010-04-16
7,208,179,102,2010-04-16
7,221,0,12,2004-09-13
7,255,61.17,102,2010-04-16
7,262,0,12,2004-09-13
7,263,0,12,2004-09-13
7,268,749,2,2010-04-16
7,269,1.44,102,2010-04-16
7,291,1.6,102,2010-04-16
7,301,11,102,2010-04-16
7,303,2.37,102,2010-04-16
7,304,31,102,2010-04-16
7,305,160,102,2010-04-16
7,306,386,102,2010-04-16
7,307,306,102,2010-04-16
7,309,4.99,102,2010-04-16
7,312,0.121,102,2010-04-16
7,315,0.139,102,2010-04-16
7,317,14.1,102,2010-04-16
7,324,9,102,2010-04-16
7,339,0.2,102,2010-04-16
7,401,7.8,102,2010-04-16
7,404,0.089,102,2010-04-16
7,405,0.209,102,2010-04-16
7,406,4.016,102,2010-04-16
7,409,6.449,4,2010-04-16
7,410,0.764,102,2010-04-16
7,415,0.268,102,2010-04-16
7,417,18,102,2010-04-16
7,418,1.345,102,2010-04-16
7,430,5.6,102,2010-04-16
7,431,0,102,2010-04-16
7,501,0.146,102,2010-04-16
7,502,0.846,102,2010-04-16
7,503,0.956,102,2010-04-16
7,504,1.676,102,2010-04-16
7,505,1.749,102,2010-04-16
7,506,0.537,102,2010-04-16
7,507,0.268,102,2010-04-16
7,508,0.844,102,2010-04-16
7,509,0.677,102,2010-04-16
7,510,1.06,102,2010-04-16
7,511,1.36,102,2010-04-16
7,512,0.66,102,2010-04-16
7,513,1.27,102,2010-04-16
7,514,2.053,102,2010-04-16
7,515,3.218,102,2010-04-16
7,516,1.248,102,2010-04-16
7,517,1.013,102,2010-04-16
7,518,0.839,102,2010-04-16
7,601,48,102,2010-04-16
7,606,1.872,102,2010-04-16
7,610,0.001,102,2010-04-16
7,611,0.006,102,2010-04-16
7,612,0.112,102,2010-04-16
7,613,1.069,102,2010-04-16
7,614,0.589,102,2010-04-16
7,617,2.221,102,2010-04-16
7,618,0.532,102,2010-04-16
7,619,0.091,102,2010-04-16
7,620,0.052,102,2010-04-16
7,621,0,102,2009-07-14
7,626,0.218,102,2010-04-16
7,628,0.018,102,2010-04-16
7,629,0,102,2010-04-16
7,630,0,102,2010-04-16
7,631,0,102,2009-07-14
7,645,2.552,102,2010-04-16
7,646,0.709,102,2010-04-16
7,806,18,102,2010-04-16
7,814,15,102,2010-04-16
7,815,18,2,2010-04-16
7,827,0,12,2009-07-14
7,831,0.076,102,2010-04-16
7,832,0.004,102,2010-04-16
7,840,0,102,2010-04-16
7,852,0,102,2010-04-16
7,854,0,12,2009-07-14
7,855,0.052,102,2010-04-16
7,861,0,12,2009-07-14
8,203,12.8,0,1997-05-01
8,204,8.5,0,1997-05-01
8,205,11.3,0,1997-05-01
8,207,1.3,0,1997-05-01
8,208,173,0,1997-05-01
8,221,0,12,2004-09-13
8,255,66.1,0,1997-05-01
8,262,0,12,2004-09-13
8,263,0,12,2004-09-13
8,268,723,0,1997-05-01
8,291,1,102,2005-07-14
8,301,41,0,1997-05-01
8,303,1.2,0,1997-05-01
8,305,145,0,1997-05-01
8,306,112,0,1997-05-01
8,307,344,0,1997-05-01
8,319,0,2,2002-11-13
8,321,354,2,2002-11-13
8,401,4,0,1997-05-01
8,404,0.07,0,1997-05-01
8,405,0.18,0,1997-05-01
8,406,5.2,0,1997-05-01
8,409,7.547,4,1997-05-01
8,417,18,0,1997-05-01
8,601,49,0,1997-05-01
8,606,3,0,1997-05-01
8,617,3,0,1997-05-01
8,618,1,0,1997-05-01
8,621,0,12,2009-07-14
8,631,0,12,2009-07-14
8,645,3,0,1997-05-01
8,646,1,0,1997-05-01
8,814,30,106,2008-11-20
8,827,0,12,2009-07-14
8,832,0,12,2009-07-14
8,854,0,12,2009-07-14
8,861,0,12,2009-07-14
10,203,8.4,0,1997-05-01
10,204,3,0,1997-05-01
10,205,12.7,0,1997-05-01
10,207,1.2,0,1997-05-01
10,208,112,0,1997-05-01
10,221,0,12,2004-09-13
10,255,74.7,0,1997-05-01
10,262,0,12,2004-09-13
10,263,0,12,2004-09-13
10,268,468,0,1997-05-01
10,291,1.1,102,2005-07-14
10,301,26,0,1997-05-01
10,303,1.1,0,1997-05-01
10,305,87,0,1997-05-01
10,306,176,0,1997-05-01
10,307,400,0,1997-05-01
10,319,0,2,2002-11-13
10,321,78,2,2002-11-13
10,401,4,0,1997-05-01
10,404,0.07,0,1997-05-01
10,405,0.09,0,1997-05-01
10,406,2.3,0,1997-05-01
10,409,3.84,4,1997-05-01
10,417,15,0,1997-05-01
10,601,32,0,1997-05-01
10,606,1,0,1997-05-01
10,617,1,0,1997-05-01
10,618,0,0,1997-05-01
10,621,0,12,2009-07-15
10,631,0,12,2009-07-15
10,645,1,0,1997-05-01
10,646,0,0,1997-05-01
10,814,7,106,2008-11-20
10,827,0,12,2009-07-15
10,832,0,12,2009-07-15
10,854,0,12,2009-07-15
10,861,0,12,2009-07-15
61,203,3.3,0,2009-07-02
61,204,1.98,0,2010-03-22
61,205,4.8,0,2010-03-22
61,207,0.71,0,2009-07-02
61,208,50,0,1997-05-01
61,210,0.01,0,2004-04-02
61,211,0.01,0,2004-04-02
