FoodID,NutrientID,NutrientValue,NutrientSourceID,NutrientDateOfEntry
2,203,9.54,102,2010-04-16
2,204,15.7,102,2010-04-16
2,205,5.91,102,2010-04-16
2,207,1.67,102,2010-04-16
2,208,204,102,2010-04-16
2,221,0,12,2004-09-13
2,255,67.17,102,2010-04-16
2,262,0,12,2004-09-13
2,263,0,12,2004-09-13
2,268,853,4,2010-04-16
2,269,2.66,102,2010-04-16
2,291,0.1,102,2010-04-16
2,301,184,102,2010-04-16
2,303,0.74,102,2010-04-16
2,304,13,102,2010-04-16
2,305,167,102,2010-04-16
2,306,119,102,2010-04-16
2,307,318,102,2010-04-16
2,309,1.1,102,2010-04-16
2,312,0.031,102,2010-04-16
2,315,0.043,102,2010-04-16
2,317,15.8,102,2010-04-16
2,319,188,102,2010-04-16
2,321,64,102,2010-04-16
2,323,2.03,102,2010-04-16
2,324,79,102,2010-04-16
2,339,2,102,2010-04-16
2,401,0,102,2010-04-16
2,404,0.052,102,2010-04-16
2,405,0.296,102,2010-04-16
2,406,0.317,102,2010-04-16
2,409,2.55,4,2010-04-16
2,410,0.971,102,2010-04-16
2,415,0.038,102,2010-04-16
2,417,27,102,2010-04-16
2,418,0.604,102,2010-04-16
2,430,8,102,2010-04-16
2,431,6,102,2010-04-16
2,501,0.134,102,2010-04-16
2,502,0.366,102,2010-04-16
2,503,0.538,102,2010-04-16
2,504,0.889,102,2010-04-16
2,505,0.717,102,2010-04-16
2,506,0.266,102,2010-04-16
2,507,0.155,102,2010-04-16
2,508,0.517,102,2010-04-16
2,509,0.428,102,2010-04-16
2,510,0.621,102,2010-04-16
2,511,0.449,102,2010-04-16
2,512,0.237,102,2010-04-16
2,513,0.391,102,2010-04-16
2,514,0.781,102,2010-04-16
2,515,2.017,102,2010-04-16
2,516,0.233,102,2010-04-16
2,517,0.825,102,2010-04-16
2,518,0.623,102,2010-04-16
2,601,129,102,2010-04-16
2,605,1.239,102,2010-04-16
2,606,5.742,102,2010-04-16
2,609,0.044,102,2010-04-16
2,610,0.103,102,2010-04-16
2,611,0.136,102,2010-04-16
2,612,0.62,102,2010-04-16
2,613,2.968,102,2010-04-16
2,614,1.389,102,2010-04-16
2,617,5.383,102,2010-04-16
2,618,2.204,102,2010-04-16
2,619,0.484,102,2010-04-16
2,620,0.047,102,2010-04-16
2,621,0.022,102,2010-04-16
2,626,0.274,102,2010-04-16
2,627,0,102,2010-04-16
2,629,0.001,102,1997-05-01
2,630,0.002,102,2010-04-16
2,631,0.003,102,2010-04-16
2,645,5.82,102,2010-04-16
2,646,2.77,102,2010-04-16
2,806,21,102,2010-04-16
2,814,194,102,2010-04-16
2,815,30,4,2010-04-16
2,825,2.01,102,2010-04-16
2,832,0.03,102,2010-04-16
2,835,0,12,2010-04-16
2,836,0,12,2010-04-16
2,837,99,102,2012-05-28
2,874,0,12,2015-02-27
2,875,0,12,2015-02-27
2,876,0,12,2015-02-27
4,203,4.07,102,2010-04-19
4,204,2.8,102,2010-04-19
4,205,5.29,102,2010-04-19
4,207,1.65,102,2010-04-19
4,208,60,102,2010-04-19
4,221,0,12,2004-09-13
4,255,86.26,102,2010-04-19
4,262,0,12,2004-09-13
4,263,0,12,2004-09-13
4,268,251,4,2010-04-19
4,269,3.4,102,2010-04-19
4,291,1.1,102,2010-04-19
4,301,17,102,2010-04-19
4,303,0.59,102,2010-04-19
4,304,13,102,2010-04-19
4,305,54,102,2010-04-19
4,306,164,102,2010-04-19
4,307,490,102,2010-04-19
4,309,0.39,102,2010-04-19
4,312,0.097,102,2010-04-19
4,315,0.137,102,2010-04-19
4,317,2.6,102,2010-04-19
4,319,1,102,2010-04-19
4,321,47,102,2010-04-19
4,323,0.45,102,2010-04-19
4,324,1,102,2010-04-19
4,339,0,102,2010-04-19
4,401,4.5,102,2010-04-19
4,404,0.041,102,2010-04-19
4,405,0.069,102,2010-04-19
4,406,1.478,102,2010-04-19
4,409,2.06,4,2010-04-19
4,410,0.304,102,2010-04-19
4,415,0.086,102,2010-04-19
4,417,24,102,2010-04-19
4,418,0.058,102,2010-04-19
4,430,16.9,102,2010-04-19
4,431,0,102,2010-04-19
4,501,0.035,102,2010-04-19
4,502,0.111,102,2010-04-19
4,503,0.147,102,2010-04-19
4,504,0.208,102,2010-04-19
4,505,0.22,102,2010-04-19
4,506,0.064,102,2010-04-19
4,507,0.029,102,2010-04-19
4,508,0.119,102,2010-04-19
4,509,0.084,102,2010-04-19
4,510,0.148,102,2010-04-19
4,511,0.188,102,2010-04-19
4,512,0.085,102,2010-04-19
4,513,0.143,102,2010-04-19
4,514,0.347,102,2010-04-19
4,515,0.399,102,2010-04-19
4,516,0.121,102,2010-04-19
4,517,0.089,102,2010-04-19
4,518,0.084,102,2010-04-19
4,601,6,102,2010-04-19
4,605,0.078,102,2010-04-19
4,606,0.364,102,2010-04-19
4,607,0,102,2010-04-19
4,608,0,102,2010-04-19
4,609,0,102,2010-04-19
4,610,0,102,2010-04-19
4,611,0.001,102,2010-04-19
4,612,0.006,102,2010-04-19
4,613,0.239,102,2010-04-19
4,614,0.089,102,2010-04-19
4,617,1.466,102,2010-04-19
4,618,0.541,102,2010-04-19
4,619,0.193,102,2010-04-19
4,620,0.007,102,2010-04-19
4,621,0.003,102,2010-04-19
4,626,0.038,102,2010-04-19
4,627,0,102,2010-04-19
4,629,0.001,102,2010-04-19
4,630,0,102,2010-04-19
4,631,0.001,102,2010-04-19
4,645,1.54,102,2015-04-21
4,646,0.75,102,2015-04-21
4,806,24,102,2010-04-19
4,814,5,102,2010-04-19
4,815,25,4,2010-04-19
4,832,0,102,2009-07-14
4,834,2,102,2010-04-19
4,835,2,102,2010-04-19
4,836,0,102,2010-04-19
4,837,50,102,2010-04-19
4,840,0,102,2010-04-19
4,852,0,102,2010-04-19
4,874,0,12,2015-04-21
4,875,0,12,2015-04-21
5,203,6.76,0,2013-05-22
5,204,2.8,0,2013-05-22
5,205,8.29,0,2013-05-22
5,207,1.13,0,2013-05-22
5,208,85,0,2015-04-28
5,210,0.6,0,2013-05-22
5,211,0.65,0,2013-05-22
5,212,0.49,0,2013-05-22
5,213,0,0,2013-05-22
5,214,0,0,2013-05-22
