food_id,measure_id,conversion_factor_value
5,341,0.92989
5,383,1.16236
5,415,2.32472
61,341,1.03128
61,415,2.57819
415,341,1.03550
415,385,0.15203
415,415,2.58876
415,428,0.30405
2873,341,1.00101
2873,415,2.50250
2880,341,0.43920
2880,428,0.13000
2885,341,1.03483
2885,383,1.29438
2885,415,2.58876
5573,341,0.76078
5573,383,0.95090
5573,415,1.90194
5574,341,0.76923
5574,383,0.96150
5574,415,1.92307
5580,385,0.06340
5582,341,0.60017
5582,383,0.75020
5582,415,1.50042
5585,341,0.10989
5585,415,0.27473
5586,341,1.02282
5586,383,1.27850
5586,415,2.55706
5589,341,1.03128
5589,415,2.57819
7,341,0.85000
7,383,1.06250
7,415,2.12500
8,341,0.88000
8,383,1.10000
8,415,2.20000
10,341,0.87000
10,383,1.08750
10,415,2.17500
129,341,0.50000
129,385,0.07500
129,428,0.15000
1415,341,0.38000
1415,383,0.47500
1415,415,0.95000
5575,341,0.90000
5575,383,1.12500
5575,415,2.25000
5587,341,0.85000
5587,383,1.06250
5587,415,2.12500
