id,food_group_id,description
5,22,"Chinese dish, chow mein, chicken"
7,22,"Beef pot roast, with browned potatoes, peas and corn"
8,22,"Fried chicken, mashed potatoes and vegetables"
10,22,Sliced turkey with mashed potatoes and peas
61,1,"Milk, fluid, partly skimmed, 2% M.F."
129,1,"Egg, chicken, whole, cooked, fried"
415,4,"Sandwich spread, with chopped pickle, regular, unspecified oil"
1415,8,"Cereal, hot, oats, instant: apple and cinnamon, dry, Quaker"
2873,14,"Coffee, brewed, prepared with tap water"
2880,14,"Coffee, instant, with sugar, mocha flavour, powder"
2885,14,"Juice drink, cranberry and apricot, bottled"
5573,11,"Potatoes, canned, drained solids, unsalted"
5574,11,"Vegetables, mixed, canned, unsalted"
5575,10,"Pork, cured, ham, boneless, mini ham-half, extra lean and regular, cooked, reduced sodium"
5580,1,"Cheese, parmesan, low sodium"
5582,11,"Sauerkraut, canned, low sodium"
5585,25,"Snacks, tortilla chips, unsalted"
5586,11,"Juice, tomato and vegetable, low sodium"
5587,5,"Turkey, wing, smoked, cooked, with skin, bone removed"
5589,14,"Chocolate flavour drink, whey and milk based"
