food_id,nutrient_id,nutrient_value
5,203,6.76
5,204,2.8
5,205,8.29
5,207,1.13
5,208,85
5,210,0.6
5,211,0.65
5,212,0.49
5,213,0
5,214,0
5,221,0
5,255,81.01
5,262,0
5,263,0
5,268,355
5,269,1.74
5,287,0
5,291,1
5,301,21
5,303,0.67
5,304,11
5,305,54
5,306,124
5,307,311
5,309,0.32
5,312,0.029
5,315,0.099
5,317,6.1
5,319,1
5,321,166
5,323,0.43
5,324,1
5,339,0
5,401,2
5,404,0.031
5,405,0.023
5,406,1.468
5,409,2.851
5,410,0.26
5,415,0.175
5,417,27
5,418,0.07
5,430,22
5,431,7
5,501,0.083
5,502,0.268
5,503,0.28
5,504,0.502
5,505,0.475
5,506,0.163
5,507,0.077
5,508,0.252
5,509,0.218
5,510,0.307
5,511,0.424
5,512,0.184
5,513,0.356
5,514,0.604
5,515,1.38
5,516,0.237
5,517,0.355
5,518,0.252
5,601,16
5,605,0.017
5,606,0.49
5,607,0.003
5,608,0
5,609,0.001
5,610,0.002
5,611,0.001
5,612,0.007
5,613,0.347
5,614,0.11
5,615,0.006
5,617,0.569
5,618,1.066
5,619,0.129
5,620,0.016
5,621,0
5,624,0.006
5,625,0.001
5,626,0.03
5,627,0
5,628,0.01
5,629,0.002
5,630,0.001
5,631,0
5,645,0.613
5,646,1.226
5,652,0.001
5,653,0.003
5,654,0.003
5,806,21
5,810,3.99
5,811,0.03
5,812,0.93
5,813,0.25
5,814,19
5,815,32
5,817,0
5,818,0.009
5,819,0.007
5,820,0.001
5,821,0.029
5,823,0
5,824,0.56
5,825,1.057
5,826,0.003
5,827,0
5,829,0.01
5,831,0.128
5,832,0
5,833,0
5,834,99
5,835,1
5,836,0
5,837,66
5,838,0.002
5,840,0
5,841,0
5,845,0.004
5,852,0
5,854,0
5,855,0
5,859,0.007
5,861,0
5,862,24
5,863,0.8
5,868,0.13
5,869,1.077
7,203,21.29
7,204,5.25
7,205,10.72
7,207,1.86
7,208,179
7,221,0
7,255,61.17
7,262,0
7,263,0
7,268,749
7,269,1.44
7,291,1.6
7,301,11
7,303,2.37
7,304,31
7,305,160
7,306,386
7,307,306
7,309,4.99
7,312,0.121
7,315,0.139
7,317,14.1
7,324,9
7,339,0.2
7,401,7.8
7,404,0.089
7,405,0.209
7,406,4.016
7,409,6.449
7,410,0.764
7,415,0.268
7,417,18
7,418,1.345
7,430,5.6
7,431,0
7,501,0.146
7,502,0.846
7,503,0.956
7,504,1.676
7,505,1.749
7,506,0.537
7,507,0.268
7,508,0.844
7,509,0.677
7,510,1.06
7,511,1.36
7,512,0.66
7,513,1.27
7,514,2.053
7,515,3.218
7,516,1.248
7,517,1.013
7,518,0.839
7,601,48
7,606,1.872
7,610,0.001
7,611,0.006
7,612,0.112
7,613,1.069
7,614,0.589
7,617,2.221
7,618,0.532
7,619,0.091
7,620,0.052
7,621,0
7,626,0.218
7,628,0.018
7,629,0
7,630,0
7,631,0
7,645,2.552
7,646,0.709
7,806,18
7,814,15
7,815,18
7,827,0
7,831,0.076
7,832,0.004
7,840,0
7,852,0
7,854,0
7,855,0.052
7,861,0
8,203,12.8
8,204,8.5
8,205,11.3
8,207,1.3
8,208,173
8,221,0
8,255,66.1
8,262,0
8,263,0
8,268,723
8,291,1
8,301,41
8,303,1.2
8,305,145
8,306,112
8,307,344
8,319,0
8,321,354
8,401,4
8,404,0.07
8,405,0.18
8,406,5.2
8,409,7.547
8,417,18
8,601,49
8,606,3
8,617,3
8,618,1
8,621,0
8,631,0
8,645,3
8,646,1
8,814,30
8,827,0
8,832,0
8,854,0
8,861,0
10,203,8.4
10,204,3
10,205,12.7
10,207,1.2
10,208,112
10,221,0
10,255,74.7
10,262,0
10,263,0
10,268,468
10,291,1.1
10,301,26
10,303,1.1
10,305,87
10,306,176
10,307,400
10,319,0
10,321,78
10,401,4
10,404,0.07
10,405,0.09
10,406,2.3
10,409,3.84
10,417,15
10,601,32
10,606,1
10,617,1
10,618,0
10,621,0
10,631,0
10,645,1
10,646,0
10,814,7
10,827,0
10,832,0
10,854,0
10,861,0
61,203,3.3
61,204,1.98
61,205,4.8
61,207,0.71
61,208,50
61,210,0.01
61,211,0.01
61,212,0.01
61,213,5.01
61,214,0.01
61,221,0
61,255,89.21
61,262,0
61,263,0
61,268,210
61,269,5.06
61,287,0.02
61,291,0
61,301,120
61,303,0.02
61,304,11
61,305,92
61,306,140
61,307,47
61,309,0.48
61,312,0.006
61,315,0.014
61,317,2.5
61,319,63
61,321,4
61,323,0.03
61,324,40
61,339,1
61,401,0.2
61,404,0.039
61,405,0.185
61,406,0.092
61,409,0.792
61,410,0.356
61,415,0.038
61,417,5
61,418,0.53
61,430,0.2
61,431,0
61,501,0.042
61,502,0.141
61,503,0.171
61,504,0.313
61,505,0.276
61,506,0.087
61,507,0.02
61,508,0.171
61,509,0.167
61,510,0.216
61,511,0.094
61,512,0.1
61,513,0.112
61,514,0.283
61,515,0.742
61,516,0.065
61,517,0.326
61,518,0.199
61,601,8
61,605,0.085
61,606,1.257
61,607,0.077
61,608,0.04
61,609,0.02
61,610,0.049
61,611,0.006
61,612,0.175
61,613,0.558
61,614,0.243
61,615,0.004
61,617,0.508
61,618,0.062
61,619,0.008
61,620,0
61,621,0
61,624,0.002
61,625,0.015
61,626,0.027
61,627,0
61,628,0.008
61,629,0
61,630,0
61,631,0
61,636,0
61,638,0
61,645,0.56
61,646,0.073
61,652,0.02
61,653,0.011
61,806,5
61,811,0
61,812,0
61,813,0
61,814,63
61,815,5
61,816,0
61,818,0.078
61,819,0.007
61,821,0.027
61,824,0.43
61,825,0.055
61,826,0.005
61,827,0.003
61,828,0
61,829,0.078
61,831,0.008
61,833,0.004
61,834,0
61,835,0
61,836,0
61,837,0
61,855,0
61,859,0.007
61,861,0
61,862,16.4
61,863,0.9
61,874,0
61,875,0
61,876,0
129,203,12.87
129,204,14.81
129,205,1.11
129,207,1.54
129,208,193
129,210,0.12
129,211,0.229
129,212,0.12
129,213,0.12
129,214,0.12
129,221,0
129,255,69.67
129,262,0
129,263,0
129,268,807
129,269,0.84
129,287,0.12
129,291,0
129,301,49
129,303,1.15
129,304,10
129,305,137
129,306,125
129,307,329
129,309,1.26
129,312,0.06
129,315,0.053
129,317,37.3
129,319,246
129,321,30
129,323,3.42
129,324,89
129,339,2.2
129,401,0
129,404,0.066
129,405,0.513
129,406,0.121
129,409,2.974
129,410,2.659
129,415,0.075
129,417,59
129,418,1.765
129,430,4.8
129,431,0
129,501,0.171
129,502,0.569
129,503,0.688
129,504,1.113
129,505,0.935
129,506,0.389
129,507,0.278
129,508,0.696
129,509,0.512
129,510,0.88
129,511,0.839
129,512,0.317
129,513,0.752
129,514,1.36
129,515,1.718
129,516,0.442
129,517,0.528
129,518,0.994
129,601,399
129,605,0.075
129,606,4.008
129,607,0
129,608,0
129,609,0.001
129,610,0.001
129,611,0.022
129,612,0.046
129,613,2.761
129,614,1.111
129,615,0.003
129,617,5.881
129,618,2.261
129,619,0.324
129,620,0.17
129,621,0.078
129,624,0
129,625,0.007
129,626,0.355
129,627,0.003
129,628,0.056
129,629,0.002
129,630,0.001
129,631,0.009
129,636,0
129,638,0
129,645,6.33
129,646,2.877
129,652,0.007
129,653,0.021
129,654,0.004
129,806,59
129,814,248
129,815,59
129,816,0
129,817,0.007
129,818,0.045
129,820,0.007
129,821,0.344
129,823,0.012
129,824,4.108
129,825,2.13
129,826,0.015
129,827,0.018
129,829,0.053
129,831,0.294
129,832,0.025
129,833,0
129,837,362
129,838,0.015
129,840,0
129,841,0.003
129,845,0.013
129,846,0.007
129,847,0
129,849,0
129,852,0
129,853,0.019
129,854,0.018
129,855,0.17
129,859,0.022
129,861,0
129,862,317.1
129,863,0.3
129,868,0.384
129,869,2.358
129,874,0
129,875,0
129,876,0
415,203,0.9
415,204,34
415,205,22.4
415,207,2
415,208,389
415,221,0
415,255,40.8
415,262,0
415,263,0
415,268,1628
415,269,15.18
415,291,0.4
415,301,14
415,303,0.2
415,304,2
415,305,26
415,306,35
415,307,1000
415,309,0.81
415,312,0.01
415,317,1.6
415,319,13
415,321,94
415,323,4
415,324,4
415,339,0.1
415,401,0
415,404,0.01
415,405,0.02
415,406,0.01
415,409,0.227
415,410,0
415,415,0.02
415,417,6
415,418,0.21
415,430,24.7
415,431,0
415,501,0.013
415,502,0.049
415,503,0.052
415,504,0.077
415,505,0.061
415,506,0.023
415,507,0.016
415,508,0.039
415,509,0.039
415,510,0.055
415,511,0.062
415,512,0.022
415,513,0.045
415,514,0.075
415,515,0.11
415,516,0.027
415,517,0.037
415,518,0.075
415,601,76
415,606,5.1
415,607,0
415,608,0
415,609,0
415,610,0
415,611,0
415,612,0
415,613,3.9
415,614,1.2
415,617,7.4
415,618,18.1
415,619,1.9
415,620,0
415,621,0
415,626,0
415,627,0
415,628,0
415,629,0
415,630,0
415,631,0
415,636,75
415,645,7.4
415,646,20
415,806,6
415,814,22
415,815,6
415,827,0
415,831,1.9
415,832,0
415,834,1
415,835,27
415,836,0
415,837,87
415,840,0
415,852,0
415,854,0
415,855,0
415,861,0
415,862,14.6
1415,203,8.32
1415,204,4.24
1415,205,78.58
1415,207,3.07
1415,208,386
1415,221,0
1415,255,5.8
1415,262,0
1415,263,0
1415,268,1614
1415,269,34.16
1415,291,7.9
1415,301,191
1415,303,13.74
1415,304,83
1415,305,280
1415,306,298
1415,307,575
1415,309,1.89
1415,312,0.244
1415,315,2.61
1415,319,0
1415,321,0
1415,324,0
1415,339,0
1415,401,0.8
1415,404,2.055
1415,405,0.08
1415,406,4.689
1415,409,6.214
1415,410,1.545
1415,415,0.611
1415,416,14.1
1415,417,67
1415,418,0
1415,431,50
1415,601,0
1415,605,0
1415,606,0.75
1415,621,0
1415,631,0
1415,645,1.277
1415,646,1.545
1415,806,17
1415,814,0
1415,815,102
1415,832,0
1415,854,0
1415,861,0
2873,203,0.12
2873,204,0.02
2873,205,0
2873,207,0.35
2873,208,0
2873,210,0
2873,211,0
2873,212,0
2873,213,0
2873,214,0
2873,221,0
2873,255,99.39
2873,260,0
2873,261,0
2873,262,40
2873,263,0
2873,268,2
2873,269,0
2873,287,0
2873,291,0
2873,301,2
2873,303,0.01
2873,304,3
2873,305,3
2873,306,49
2873,307,2
2873,309,0.02
2873,312,0.002
2873,315,0.023
2873,317,0
2873,319,0
2873,321,0
2873,323,0.01
2873,324,0
2873,339,0
2873,401,0
2873,404,0.014
2873,405,0.076
2873,406,0.191
2873,409,0.191
2873,410,0.254
2873,415,0.001
2873,417,2
2873,418,0
2873,430,0.1
2873,431,0
2873,501,0
2873,502,0.001
2873,503,0.002
2873,504,0.005
2873,505,0.001
2873,506,0
2873,507,0.002
2873,508,0.003
2873,509,0.002
2873,510,0.003
2873,511,0.001
2873,512,0.002
2873,513,0.003
2873,514,0.005
2873,515,0.02
2873,516,0.004
2873,517,0.004
2873,518,0.001
2873,601,0
2873,605,0
2873,606,0.002
2873,607,0
2873,608,0
2873,609,0
2873,610,0
2873,611,0
2873,612,0
2873,613,0.002
2873,614,0
2873,615,0
2873,617,0
2873,618,0.001
2873,619,0
2873,620,0
2873,621,0
2873,624,0
2873,625,0
2873,626,0
2873,627,0
2873,628,0
2873,629,0
2873,630,0
2873,631,0
2873,645,0.015
2873,646,0.001
2873,652,0
